Index;Classement;Chaîne;Abonnés;Vues;Vidéos;Catégorie;Année de création;Vues/vidéos;Vues/abonné;Ancienneté;Abonnés/an;Vues/an
0;1;T-Series;237 000 000;216 495 600 668;18831;Music;2006;11 496 766,01;913,48;19;12 473 684,21;11 394 505 298,32
1;2;Cocomelon - Nursery Rhymes;154 000 000;152 638 999 634;861;Education;2006;177 281 068,10;991,16;19;8 105 263,16;8 033 631 559,68
2;3;SET India;152 000 000;140 138 068 504;105649;Film & Animation;2006;1 326 449,55;921,96;19;8 000 000,00;7 375 687 816,00
3;4;Sony SAB;77 500 000;92 952 274 861;65028;Film & Animation;2007;1 429 419,25;1 199,38;18;4 305 555,56;5 164 015 270,06
4;5;‚úø Kids Diana Show;108 000 000;88 452 629 066;1070;People & Blogs;2015;82 666 008,47;819,01;10;10 800 000,00;8 845 262 906,60
5;6;Like Nastya;104 000 000;88 060 349 741;762;People & Blogs;2016;115 564 763,44;846,73;9;11 555 555,56;9 784 483 304,56
6;7;WWE;93 500 000;74 447 865 775;66901;Sports;2007;1 112 806,47;796,23;18;5 194 444,44;4 135 992 543,06
7;8;Vlad and Niki;93 900 000;73 333 582 362;530;Entertainment;2018;138 365 249,74;780,98;7;13 414 285,71;10 476 226 051,71
8;9;Movieclips;58 700 000;58 923 017 461;40063;Film & Animation;2006;1 470 758,99;1 003,80;19;3 089 473,68;3 101 211 445,32
9;10;Colors TV;60 200 000;58 056 997 206;104523;Film & Animation;2008;555 447,10;964,40;17;3 541 176,47;3 415 117 482,71
10;11;Zee Music Company;92 800 000;54 295 114 324;7768;Music;2014;6 989 587,32;585,08;11;8 436 363,64;4 935 919 484,00
11;12;El Reino Infantil;55 600 000;54 151 900 416;1434;Music;2011;37 762 831,53;973,96;14;3 971 428,57;3 867 992 886,86
12;13;Ryan's World;34 400 000;54 008 224 558;2321;Entertainment;2015;23 269 377,23;1 570,01;10;3 440 000,00;5 400 822 455,80
13;14;netd m√ºzik;23 600 000;53 867 289 619;22108;Music;2014;2 436 551,91;2 282,51;11;2 145 454,55;4 897 026 329,00
14;15;ABS-CBN Entertainment;42 600 000;49 164 270 097;187424;People & Blogs;2008;262 315,77;1 154,09;17;2 505 882,35;2 892 015 888,06
15;16;Toys and Colors;38 600 000;44 642 348 659;910;Entertainment;2016;49 057 526,00;1 156,54;9;4 288 888,89;4 960 260 962,11
16;17;ChuChu TV Nursery Rhymes & Kids Songs;61 900 000;42 589 514 748;546;Education;2013;78 002 774,26;688,04;12;5 158 333,33;3 549 126 229,00
17;18;Zee TV;65 900 000;42 064 672 138;98369;Entertainment;2005;427 621,22;638,31;20;3 295 000,00;2 103 233 606,90
18;19;Super Simple Songs - Kids Songs;37 800 000;41 715 976 696;667;Education;2006;62 542 693,70;1 103,60;19;1 989 473,68;2 195 577 720,84
19;20;Wave Music;56 300 000;39 258 909 308;19031;Music;2014;2 062 892,61;697,32;11;5 118 181,82;3 568 991 755,27
20;21;Little Baby Bum - Nursery Rhymes & Kids Songs;40 800 000;38 840 192 263;2287;Education;2011;16 983 031,16;951,97;14;2 914 285,71;2 774 299 447,36
21;22;Canal KondZilla;66 400 000;37 297 721 449;2393;Music;2012;15 586 176,95;561,71;13;5 107 692,31;2 869 055 496,08
22;23;Pinkfong Baby Shark - Kids' Songs & Stories;65 700 000;36 688 824 621;2647;Education;2011;13 860 530,65;558,43;14;4 692 857,14;2 620 630 330,07
23;24;WorkpointOfficial;38 300 000;35 265 515 153;68255;Entertainment;2012;516 672,99;920,77;13;2 946 153,85;2 712 731 934,85
24;25;–ú–∞—à–∞ –∏ –ú–µ–¥–≤–µ–¥—å;41 600 000;35 041 524 012;1316;Film & Animation;2011;26 627 297,88;842,34;14;2 971 428,57;2 502 966 000,86
25;26;HAR PAL GEO;38 000 000;33 884 922 133;84696;Entertainment;2008;400 077,01;891,71;17;2 235 294,12;1 993 230 713,71
26;27;ARY Digital HD;39 800 000;33 692 884 745;92357;Entertainment;2016;364 811,38;846,55;9;4 422 222,22;3 743 653 860,56
27;28;YRF;52 200 000;33 001 702 137;3528;Film & Animation;2006;9 354 223,96;632,22;19;2 747 368,42;1 736 931 691,42
28;29;Tips Official;57 000 000;31 392 740 249;4182;Music;2007;7 506 633,25;550,75;18;3 166 666,67;1 744 041 124,94
29;30;LooLoo Kids - Nursery Rhymes and Children's Songs;52 900 000;31 261 734 882;621;Music;2014;50 340 957,94;590,96;11;4 809 090,91;2 841 975 898,36
30;31;LankyBox;23 300 000;31 155 421 572;7307;Comedy;2016;4 263 777,42;1 337,14;9;2 588 888,89;3 461 713 508,00
31;32;Shemaroo Filmi Gaane;64 000 000;30 308 486 987;8535;Music;2010;3 551 082,25;473,57;15;4 266 666,67;2 020 565 799,13
32;33;Justin Bieber;71 000 000;29 802 309 718;249;Music;2007;119 687 990,84;419,75;18;3 944 444,44;1 655 683 873,22
33;34;Get Movies;44 800 000;29 583 070 279;3193;Entertainment;2006;9 264 976,60;660,34;19;2 357 894,74;1 557 003 698,89
34;35;Ed Sheeran;53 000 000;29 256 187 171;264;Music;2006;110 818 890,80;552,00;19;2 789 473,68;1 539 799 324,79
35;36;BLACKPINK;84 400 000;29 178 260 651;475;People & Blogs;2016;61 427 917,16;345,71;9;9 377 777,78;3 242 028 961,22
37;38;PewDiePie;111 000 000;28 920 114 696;4700;Gaming;2010;6 153 215,89;260,54;15;7 400 000,00;1 928 007 646,40
38;39;Bad Bunny;45 300 000;28 697 537 555;128;Music;2014;224 199 512,15;633,50;11;4 118 181,82;2 608 867 050,45
39;40;GMANetwork;30 100 000;28 240 012 927;128766;Entertainment;2006;219 312,65;938,21;19;1 584 210,53;1 486 316 469,84
40;41;Infobells - Hindi;49 200 000;28 093 078 858;526;Education;2014;53 408 895,17;571,00;11;4 472 727,27;2 553 916 259,82
41;42;Taylor Swift;51 000 000;28 081 584 959;206;Music;2006;136 318 373,59;550,62;19;2 684 210,53;1 477 978 155,74
42;43;Sony Music India;55 900 000;27 598 909 527;3457;Music;2009;7 983 485,54;493,72;16;3 493 750,00;1 724 931 845,44
43;44;T-Series Bhakti Sagar;58 100 000;27 517 331 414;25114;Music;2011;1 095 696,88;473,62;14;4 150 000,00;1 965 523 672,43
44;45;DisneyMusicVEVO;31 700 000;27 023 117 927;1942;Music;2010;13 915 096,77;852,46;15;2 113 333,33;1 801 541 195,13
45;46;ŸÇŸÜÿßÿ© ÿ∑ŸäŸàÿ± ÿßŸÑÿ¨ŸÜÿ© | toyoraljanahtv;29 500 000;26 955 901 326;3191;Entertainment;2008;8 447 477,70;913,76;17;1 735 294,12;1 585 641 254,47
46;47;Ch3Thailand;32 700 000;26 827 714 564;86169;Entertainment;2014;311 338,35;820,42;11;2 972 727,27;2 438 883 142,18
47;48;HYBE LABELS;69 300 000;26 485 581 171;1108;Music;2008;23 903 954,13;382,19;17;4 076 470,59;1 557 975 363,00
48;49;SMTOWN;31 500 000;26 475 897 382;4086;Music;2006;6 479 661,62;840,50;19;1 657 894,74;1 393 468 283,26
49;50;Sony PAL;35 900 000;26 412 224 144;22211;Film & Animation;2014;1 189 150,61;735,72;11;3 263 636,36;2 401 111 285,82
50;51;‡∏ä‡πà‡∏≠‡∏á one31;36 400 000;26 280 826 947;106483;Entertainment;2013;246 807,72;722,00;12;3 033 333,33;2 190 068 912,25
51;52;Tsuriki Show;18 300 000;26 198 962 430;2299;Entertainment;2019;11 395 807,93;1 431,64;6;3 050 000,00;4 366 493 738,33
52;53;SonyMusicIndiaVEVO;45 200 000;26 094 337 405;3369;Music;2009;7 745 425,17;577,31;16;2 825 000,00;1 630 896 087,81
53;54;JustinBieberVEVO;31 700 000;26 082 718 186;204;Music;2009;127 856 461,70;822,80;16;1 981 250,00;1 630 169 886,63
54;55;Speed Records;42 000 000;26 010 508 068;10682;Music;2012;2 434 984,84;619,30;13;3 230 769,23;2 000 808 312,92
55;56;Shakira;40 800 000;25 929 013 006;308;People & Blogs;2005;84 185 107,16;635,52;20;2 040 000,00;1 296 450 650,30
56;57;EminemMusic;55 400 000;25 713 668 530;140;Music;2007;183 669 060,93;464,15;18;3 077 777,78;1 428 537 140,56
57;58;BabyBus - Kids Songs and Cartoons;31 700 000;25 652 048 457;1999;Education;2016;12 832 440,45;809,21;9;3 522 222,22;2 850 227 606,33
58;59;5-Minute Crafts;78 900 000;25 251 693 106;6022;Howto & Style;2016;4 193 240,30;320,05;9;8 766 666,67;2 805 743 678,44
59;60;La Granja de Zen√≥n;34 000 000;25 243 742 160;613;Music;2013;41 180 656,05;742,46;12;2 833 333,33;2 103 645 180,00
60;61;GMM GRAMMY OFFICIAL;22 700 000;25 007 763 545;14685;Music;2010;1 702 946,10;1 101,66;15;1 513 333,33;1 667 184 236,33
61;62;Vijay Television;19 000 000;24 990 083 268;40319;Entertainment;2007;619 809,10;1 315,27;18;1 055 555,56;1 388 337 959,33
62;63;Galinha Pintadinha;32 600 000;24 972 463 590;65;Film & Animation;2006;384 191 747,54;766,03;19;1 715 789,47;1 314 340 188,95
63;64;GR6 EXPLODE;38 500 000;24 945 998 838;4156;Music;2014;6 002 405,88;647,95;11;3 500 000,00;2 267 818 076,18
64;65;Katy Perry;43 900 000;24 847 554 662;120;Music;2008;207 062 955,52;566,00;17;2 582 352,94;1 461 620 862,47
65;66;Aditya Music;27 600 000;24 574 327 626;21020;Music;2008;1 169 092,66;890,37;17;1 623 529,41;1 445 548 683,88
66;67;TaylorSwiftVEVO;25 700 000;24 560 011 076;262;Music;2009;93 740 500,29;955,64;16;1 606 250,00;1 535 000 692,25
67;68;shakiraVEVO;18 400 000;24 083 534 504;194;Music;2009;124 141 930,43;1 308,89;16;1 150 000,00;1 505 220 906,50
68;69;FGTeeV;21 700 000;23 458 547 498;1674;Gaming;2013;14 013 469,23;1 081,04;12;1 808 333,33;1 954 878 958,17
69;70;1theK (ÏõêÎçîÏºÄÏù¥);24 400 000;23 411 691 878;17842;Music;2011;1 312 167,46;959,50;14;1 742 857,14;1 672 263 705,57
70;71;KatyPerryVEVO;24 700 000;23 318 716 419;173;Music;2009;134 790 268,32;944,08;16;1 543 750,00;1 457 419 776,19
71;72;Ariana Grande;52 300 000;23 242 590 833;146;Music;2007;159 195 827,62;444,41;18;2 905 555,56;1 291 255 046,28
72;73;Aaj Tak;55 700 000;23 158 451 096;242010;News & Politics;2009;95 692,12;415,77;16;3 481 250,00;1 447 403 193,50
73;74;Maria Clara & JP;36 000 000;22 985 098 433;699;People & Blogs;2015;32 882 830,38;638,47;10;3 600 000,00;2 298 509 843,30
74;75;Genevieve's Playhouse - Learning Videos for Kids;32 100 000;22 903 828 008;595;Education;2016;38 493 828,58;713,51;9;3 566 666,67;2 544 869 778,67
75;76;MrBeast;135 000 000;22 825 311 283;735;Entertainment;2012;31 054 845,28;169,08;13;10 384 615,38;1 755 793 175,62
76;77;Shemaroo;44 800 000;22 772 741 613;10873;Entertainment;2007;2 094 430,39;508,32;18;2 488 888,89;1 265 152 311,83
77;78;shfa2 - ÿ¥ŸÅÿß;38 200 000;22 708 961 183;1497;People & Blogs;2017;15 169 646,75;594,48;8;4 775 000,00;2 838 620 147,88
78;79;TheEllenShow;38 300 000;22 582 266 136;15189;Entertainment;2006;1 486 751,34;589,62;19;2 015 789,47;1 188 540 322,95
79;80;SSSniperWolf;33 300 000;22 571 436 070;3224;Gaming;2013;7 001 065,78;677,82;12;2 775 000,00;1 880 953 005,83
80;81;Ozuna;35 900 000;22 495 873 334;164;Music;2016;137 169 959,35;626,63;9;3 988 888,89;2 499 541 481,56
81;82;J Balvin;33 900 000;22 414 170 197;134;Music;2011;167 269 926,84;661,18;14;2 421 428,57;1 601 012 156,93
82;83;Masha and The Bear;39 200 000;22 375 849 147;1063;Film & Animation;2014;21 049 716,98;570,81;11;3 563 636,36;2 034 168 104,27
83;84;CookieSwirlC;19 300 000;22 362 308 350;3683;Entertainment;2013;6 071 764,42;1 158,67;12;1 608 333,33;1 863 525 695,83
84;85;Peppa Pig - Official Channel;30 300 000;22 078 360 113;2645;Film & Animation;2013;8 347 206,09;728,66;12;2 525 000,00;1 839 863 342,75
85;86;Goldmines;82 700 000;22 065 857 870;5350;Film & Animation;2012;4 124 459,41;266,82;13;6 361 538,46;1 697 373 682,31
86;87;Daddy Yankee;37 600 000;21 894 518 622;476;Music;2011;45 996 887,86;582,30;14;2 685 714,29;1 563 894 187,29
87;88;Sesame Street;23 100 000;21 847 663 213;3564;Entertainment;2006;6 130 096,30;945,79;19;1 215 789,47;1 149 877 011,21
88;89;Maroon 5;36 400 000;21 827 045 577;163;Music;2006;133 908 255,07;599,64;19;1 915 789,47;1 148 791 872,47
89;90;Nick Jr.;26 600 000;21 722 772 621;5145;Film & Animation;2012;4 222 113,24;816,65;13;2 046 153,85;1 670 982 509,31
90;91;Little Angel: Nursery Rhymes & Kids Songs;29 600 000;21 699 308 772;1232;Education;2015;17 613 075,30;733,08;10;2 960 000,00;2 169 930 877,20
91;92;etvteluguindia;18 700 000;21 665 592 262;120122;Entertainment;2010;180 363,23;1 158,59;15;1 246 666,67;1 444 372 817,47
92;93;LUCCAS NETO - LUCCAS TOON;38 800 000;21 619 683 879;2067;People & Blogs;2014;10 459 450,35;557,21;11;3 527 272,73;1 965 425 807,18
93;94;LeoNata Family;16 200 000;21 562 386 713;1871;People & Blogs;2021;11 524 525,23;1 331,01;4;4 050 000,00;5 390 596 678,25
94;95;The Weeknd;31 100 000;21 532 436 284;131;Music;2011;164 369 742,63;692,36;14;2 221 428,57;1 538 031 163,14
95;96;Rihanna;41 200 000;21 484 482 902;82;Entertainment;2005;262 005 889,05;521,47;20;2 060 000,00;1 074 224 145,10
97;98;Bollywood Classics;33 300 000;20 890 501 469;1970;Music;2012;10 604 315,47;627,34;13;2 561 538,46;1 606 961 651,46
98;99;HUM TV;25 400 000;20 838 737 685;89867;Entertainment;2011;231 884,20;820,42;14;1 814 285,71;1 488 481 263,21
99;100;Spinnin' Records;29 900 000;20 780 114 029;11110;Music;2007;1 870 397,30;694,99;18;1 661 111,11;1 154 450 779,39
100;101;A4;44 400 000;20 710 970 132;722;Gaming;2014;28 685 554,20;466,46;11;4 036 363,64;1 882 815 466,55
101;102;Inside Edition;11 500 000;20 650 907 165;29223;News & Politics;2012;706 666,23;1 795,73;13;884 615,38;1 588 531 320,38
102;103;Maluma;29 000 000;20 560 950 991;21;Music;2018;979 092 904,33;709,00;7;4 142 857,14;2 937 278 713,00
103;104;shfa;37 400 000;20 481 763 979;936;People & Blogs;2015;21 882 226,47;547,64;10;3 740 000,00;2 048 176 397,90
104;105;Alan Chikin Chow;19 100 000;20 348 395 082;702;Comedy;2020;28 986 317,78;1 065,36;5;3 820 000,00;4 069 679 016,40
105;106;jbalvinVEVO;13 200 000;20 330 493 553;235;Music;2010;86 512 738,52;1 540,19;15;880 000,00;1 355 366 236,87
106;107;T-Series Apna Punjab;33 800 000;20 285 993 947;7272;Music;2011;2 789 603,13;600,18;14;2 414 285,71;1 448 999 567,64
107;108;Bounce Patrol - Kids Songs;27 500 000;20 270 757 904;238;Music;2013;85 171 251,70;737,12;12;2 291 666,67;1 689 229 825,33
108;109;Voot Kids;43 000 000;20 019 473 962;4064;Entertainment;2016;4 926 051,66;465,57;9;4 777 777,78;2 224 385 995,78
109;110;Disney Latinoam√©rica;21 200 000;20 004 403 352;7985;Entertainment;2007;2 505 247,76;943,60;18;1 177 777,78;1 111 355 741,78
110;111;WORLDSTARHIPHOP;26 300 000;19 998 524 070;6737;Music;2008;2 968 461,34;760,40;17;1 547 058,82;1 176 383 768,82
111;112;StarPlus;26 700 000;19 979 785 524;28853;Entertainment;2006;692 468,22;748,31;19;1 405 263,16;1 051 567 659,16
112;113;LEGO;15 700 000;19 887 333 818;29807;Entertainment;2005;667 203,47;1 266,71;20;785 000,00;994 366 690,90
113;114;EminemVEVO;24 800 000;19 815 644 789;104;Music;2009;190 535 046,05;799,02;16;1 550 000,00;1 238 477 799,31
114;115;DONA ÎèÑÎÇò;30 000 000;19 780 472 075;163;Entertainment;2018;121 352 589,42;659,35;7;4 285 714,29;2 825 781 725,00
115;116;Markiplier;34 500 000;19 675 534 854;5422;Gaming;2012;3 628 833,43;570,31;13;2 653 846,15;1 513 502 681,08
116;117;ArianaGrandeVevo;17 800 000;19 650 537 182;177;Music;2010;111 019 984,08;1 103,96;15;1 186 666,67;1 310 035 812,13
117;118;BANGTANTV;73 700 000;19 590 473 596;2122;Music;2012;9 232 079,92;265,81;13;5 669 230,77;1 506 959 507,38
118;119;Maroon5VEVO;14 500 000;19 565 971 464;143;Music;2009;136 824 975,27;1 349,38;16;906 250,00;1 222 873 216,50
119;120;CVS 3D Rhymes & Kids Songs;32 100 000;19 508 008 622;338;Education;2008;57 716 001,84;607,73;17;1 888 235,29;1 147 529 918,94
120;121;GRAMMY GOLD OFFICIAL;18 100 000;19 359 121 296;6012;Music;2014;3 220 080,06;1 069,56;11;1 645 454,55;1 759 920 117,82
121;122;Like Nastya Show;42 200 000;19 238 935 770;577;Entertainment;2017;33 343 042,93;455,90;8;5 275 000,00;2 404 866 971,25
122;123;Badabun;46 500 000;19 155 168 575;17002;Entertainment;2014;1 126 642,08;411,94;11;4 227 272,73;1 741 378 961,36
123;124;DanTDM;26 400 000;19 050 281 081;3642;Gaming;2012;5 230 719,68;721,60;13;2 030 769,23;1 465 406 237,00
124;125;SMOL;17 800 000;18 922 831 360;3008;People & Blogs;2021;6 290 834,89;1 063,08;4;4 450 000,00;4 730 707 840,00
125;126;RihannaVEVO;25 200 000;18 901 031 758;118;Music;2009;160 178 235,24;750,04;16;1 575 000,00;1 181 314 484,88
126;127;JYP Entertainment;26 500 000;18 770 165 069;1602;Music;2008;11 716 707,28;708,31;17;1 558 823,53;1 104 127 357,00
127;128;Bruno Mars;36 200 000;18 587 225 564;99;Music;2006;187 749 753,17;513,46;19;1 905 263,16;978 275 029,68
128;129;MalumaVEVO;14 100 000;18 550 458 611;178;Music;2011;104 216 059,61;1 315,64;14;1 007 142,86;1 325 032 757,93
129;130;Rotana;21 100 000;18 126 808 736;8257;Music;2012;2 195 326,24;859,09;13;1 623 076,92;1 394 369 902,77
130;131;Sun TV;21 100 000;18 099 600 022;48263;People & Blogs;2016;375 020,20;857,80;9;2 344 444,44;2 011 066 669,11
131;132;BuzzFeedVideo;20 200 000;17 860 330 729;7493;People & Blogs;2011;2 383 602,13;884,17;14;1 442 857,14;1 275 737 909,21
132;133;Mar√≠lia Mendon√ßa;25 700 000;17 838 306 451;120;Music;2013;148 652 553,76;694,10;12;2 141 666,67;1 486 525 537,58
133;134;ZEE5;14 000 000;17 557 695 746;93640;Entertainment;2018;187 502,09;1 254,12;7;2 000 000,00;2 508 242 249,43
134;135;Eros Now Music;32 100 000;17 427 689 200;9884;Entertainment;2007;1 763 222,30;542,92;18;1 783 333,33;968 204 955,56
135;136;Like Nastya ESP;36 100 000;17 419 748 354;695;Entertainment;2017;25 064 386,12;482,54;8;4 512 500,00;2 177 468 544,25
137;138;PowerKids TV;33 700 000;17 230 651 240;4210;Film & Animation;2014;4 092 791,27;511,30;11;3 063 636,36;1 566 422 840,00
138;139;infobells - Tamil;27 800 000;17 173 454 323;505;Education;2014;34 006 840,24;617,75;11;2 527 272,73;1 561 223 120,27
139;140;Enrique Iglesias;23 500 000;17 134 012 330;434;Music;2007;39 479 291,08;729,11;18;1 305 555,56;951 889 573,89
140;141;mmoshaya;22 300 000;17 084 720 246;1169;People & Blogs;2010;14 614 816,29;766,13;15;1 486 666,67;1 138 981 349,73
141;142;David Guetta;25 100 000;16 994 708 151;707;Music;2009;24 037 776,73;677,08;16;1 568 750,00;1 062 169 259,44
142;143;Marta and Rustam;16 100 000;16 949 610 714;606;Comedy;2021;27 969 654,64;1 052,77;4;4 025 000,00;4 237 402 678,50
143;144;Ultra Records;29 200 000;16 804 461 102;4762;Music;2006;3 528 866,25;575,50;19;1 536 842,11;884 445 321,16
144;145;The Tonight Show Starring Jimmy Fallon;30 700 000;16 798 836 162;8627;Comedy;2006;1 947 239,62;547,19;19;1 615 789,47;884 149 271,68
145;146;SonyMusicSouthVEVO;17 400 000;16 774 817 862;5462;Music;2014;3 071 185,99;964,07;11;1 581 818,18;1 524 983 442,00
146;147;Beyonc√©;25 600 000;16 730 963 436;238;Music;2005;70 298 165,70;653,55;20;1 280 000,00;836 548 171,80
147;148;MBCentertainment;8 930 000;16 690 512 755;95914;Entertainment;2009;174 015,40;1 869,04;16;558 125,00;1 043 157 047,19
148;149;That Little Puff;18 900 000;16 582 763 026;672;Pets & Animals;2020;24 676 730,69;877,39;5;3 780 000,00;3 316 552 605,20
